iso2c,start,end,Source
AT,2008-06-01,2009-12-30,Reinhart/Rogoff
BE,2008-06-01,2009-12-30,Reinhart/Rogoff
CH,2008-06-01,2009-06-01,Reinhart/Rogoff
DE,2008-06-01,2009-12-30,Reinhart/Rogoff
DK,2008-06-01,2009-12-30,Reinhart/Rogoff
ES,2008-06-01,2009-12-30,Reinhart/Rogoff
FR,2008-06-01,2009-12-30,Reinhart/Rogoff
GB,2007-06-01,2009-06-01,Reinhart/Rogoff
GR,2008-06-01,2009-12-30,Reinhart/Rogoff
GT,2006-06-01,2006-06-01,Reinhart/Rogoff
HU,2008-06-01,2009-12-30,Reinhart/Rogoff
IE,2007-06-01,2009-12-30,Reinhart/Rogoff
IS,2007-06-01,2009-12-30,Reinhart/Rogoff
NL,2008-06-01,2009-12-30,Reinhart/Rogoff
PT,2008-06-01,2009-12-30,Reinhart/Rogoff
RU,2008-06-01,2009-06-01,Reinhart/Rogoff
US,2007-06-01,2009-12-30,Reinhart/Rogoff
